,lib,stage,hilbert,threads,peak_memory,time,vectors,rep
0,torch,diag,100,16,0.12890625,0.2097875252366066,False,dense
1,torch,diag,100,16,0.1953125,0.15996389091014862,False,sparse
2,torch,diag,177,16,0.01171875,0.21398386359214783,False,dense
3,torch,diag,177,16,0.0,0.21182800829410553,False,sparse
4,torch,diag,316,16,0.10546875,0.2609087973833084,False,dense
5,torch,diag,316,16,0.0,0.2882673218846321,False,sparse
6,torch,diag,562,16,1.23828125,0.26973917707800865,False,dense
7,torch,diag,562,16,0.0,0.445305522531271,False,sparse
8,torch,diag,1000,16,87.53515625,0.5880199745297432,False,dense
9,torch,diag,1000,16,1.84765625,0.41782599315047264,False,sparse
10,torch,diag,100,32,0.0,0.19067319110035896,False,dense
11,torch,diag,100,32,0.0,0.1731017678976059,False,sparse
12,torch,diag,177,32,0.2890625,0.2605070546269417,False,dense
13,torch,diag,177,32,0.00390625,0.22927607223391533,False,sparse
14,torch,diag,316,32,0.01953125,0.3565978519618511,False,dense
15,torch,diag,316,32,0.0,0.32052480056881905,False,sparse
16,torch,diag,562,32,3.62109375,0.26105449721217155,False,dense
17,torch,diag,562,32,0.0,0.4507151059806347,False,sparse
18,torch,diag,1000,32,0.33984375,0.5396095216274261,False,dense
19,torch,diag,1000,32,2.203125,0.6709540523588657,False,sparse
20,torch,diag,100,64,0.0,0.23363905027508736,False,dense
21,torch,diag,100,64,0.0,0.19707267731428146,False,sparse
22,torch,diag,177,64,0.2109375,0.3458467908203602,False,dense
23,torch,diag,177,64,0.31640625,0.2680799104273319,False,sparse
24,torch,diag,316,64,0.16796875,0.35688643902540207,False,dense
25,torch,diag,316,64,0.0,0.3962433338165283,False,sparse
26,torch,diag,562,64,1.98828125,0.2766201123595238,False,dense
27,torch,diag,562,64,115.875,0.2677749879658222,False,sparse
28,torch,diag,1000,64,36.4296875,0.5050002038478851,False,dense
29,torch,diag,1000,64,1.30859375,0.6172590777277946,False,sparse
